,comments
862,官方吐槽
863,抄袭就是原罪
864,大师兄呢
865,看了半天以为我没开弹幕…第一？
866,小学到大学，哎
867,不好看别看 哔哔什么呢
868,噢噢噢噢噢噢噢噢噢噢噢噢
869,诺兰更美了
870,大一了
871,工作了
872,什么玩意？
873,哈哈
874,不惑了
875,我高一啦
876,尬
877,你知道就好
878,我感觉 看个预告就满足了
879,wowowow
880,大二了啊
881,黄飞鸿 跌打师傅呢
882,??????
883,卧槽
884,玩尬的？
885,工作十一年了
886,从小学到上班
887,大三了
888,为什么想到了《爱乐之城》
889,有病的是你们
890,尴尬什么尴尬 ，学个新词就用来说别人
891,烦人精
892,大四毕业了
893,纳尼？？？？？？？？？
894,大四了
895,哈哈哈哈哈哈哈哈哈哈哈哈
896,哈哈哈哈哈哈哈哈哈哈哈哈
897,厕所战神
898,挺好的
899,若楠
900,ohhhhhhhhhhhhhhhhhhhhhhh
901,不用拍最后一季了，反正全是广告
902,小学到大学
903,展播去了南北极
904,大一啦
905,哈哈这段爆炸
906,大二了
907,大二了
908,新白娘子传奇你们咋不说尴尬
909,一言不合就开唱
910,盗墓公寓把我劝退了  对不起  回不去了
911,呵呵
912,对啊 之前他们演1234部的时候还没有那么多黑子
913,张大炮张大炮
914,小黑露个脸吧
915,1422
916,若男可以
917,没看
918,张大炮
919,？？？
920,P技术太强
921,也是蛮可惜
922,编剧都要给不能到齐的阵容妥协了  对不起这季我看不下去
923,有张大炮就行
924,周杰伦？
925,若男！！！！
926,抄袭公寓
927,说说抄袭啊
928,我终于见到公寓楼底下长什么样了
929,整容脸你来了
930,可怜张伟五季了，还是没有CP。。。
931,看的时候是小学 现在都读大二了
932,挺好的啊
933,幻乐之城
934,有张伟就想看
935,lisa啊啊啊啊啊啊
936,这是谁呀
937,陈赫变贵了
938,？？？？
939,西装好帅啊啊啊
940,西装好帅啊啊啊
941,西装好帅
942,泪目啊啊啊
943,曾小贤请不起了
944,让我康康5又抄了哪些电视
945,自黑
946,？
947,高二了
948,最后收割一波
949,高三了
950,？？？？？？？？？？
951,肾宝，味道好极了
952,6666666
953,羽墨
954,哈哈哈哈哈哈哈
955,羽墨！！！
956,律政先锋张益达
957,诶呀大炮gui?lai?q
958,羽墨
959,耳机广告
960,展博关谷悠悠都没来
961,233333
962,大班了
963,不要尬唱了好不
964,美嘉老了唉青春啊
965,曙光之力！
966,确实尬
967,哦哦哦
968,:LK
969,爱情公墓
970,说抄袭剧的，没人逼你看，你点进来干嘛？
971,冲着金甲战士我也要看完
972,12138
973,说尴尬的不要跟风
974,这就是个尬片，和电影没什么区别，建议忽略爱5
975,胡一菲主角
976,大一了
977,我吃这对
978,这个肖华说的异曲同工
979,工作了
980,我大一了
981,大二了
982,大一了都
983,我大二了
984,羽墨还是好美啊
985,？？？？？？？
986,尬尬尬
987,关谷的药神和这群电影比。。。。真没对比就没伤害啊
988,这不是之前大师兄的演员吧
989,？？？？？？？
990,高一了
991,说尬的滚出克   老子让你看了？
992,这次要抄哪一部美剧呢？
993,嗯
994,我喜欢诺兰
995,张奥那多·益达普里奥
996,大三
997,研一了
998,啊啊啊啊啊啊啊张伟！！！
999,黄衣服作死了
